OxPhos.Pathway	Glycolysis.Pathway
COX4I1	ALDOA
COX4I2	ALDOB
NDUFC2	ALDOC
NDUFC1	PKLR
NDUFB10	PKM2
NDUFB9	ENO1
NDUFB8	ENO2
NDUFB7	ENO3
NDUFB6	PGAM4
NDUFB4	PGAM1
NDUFB3	PGAM2
NDUFB2	GAPDH
NDUFB1	GAPDH
NDUFA11	GAPDH
NDUFAB1	GAPDHS
NDUFA10	TPI1
NDUFA9	PFKL
NDUFA8	PFKM
NDUFA7	PFKP
NDUFA6	GPI
NDUFA5	HK1
NDUFA4	HK2
NDUFA4L2	HK2
NDUFA3	HK3
NDUFA2	HKDC1
NDUFA1	GCK
NDUFV3	PGK1
NDUFV2	PGK2
NDUFV1	ADPGK
NDUFS8	BPGM
NDUFS7	
NDUFS6	
NDUFS5	
NDUFS4	
NDUFS3	
NDUFS2	
NDUFS1	
COX17	
COX15	
COX11	
NDUFA13	
NDUFB11	
NDUFA12	
COX8A	
COX8C	
COX7C	
COX7B	
COX7B2	
COX7A1	
COX7A2	
COX7A2L	
COX6C	
SDHA	
SDHB	
SDHC	
SDHD	
UQCR11	
CYC1	
UQCRQ	
UQCR10	
UQCRHL	
UQCRB	
UQCRC1	
UQCRC2	
UQCRFS1	
UQCRH	
COX6B2	
COX5B	
COX6A1	
COX6A2	
COX6B1	
COX5A	
ATP5H	
ATP5L	
ATP5A1	
ATP5B	
ATP5C1	
ATP5D	
ATP5E	
ATP5F1	
ATP5G1	
ATP5G2	
ATP5G3	
ATP5I	
ATP5J	
ATP5O	
ATP5J2	
ATP5J2	
ATP12A	
ATP4A	
ATP4B	
PPA2	
PPA1	
LHPP	
COX10	
